name,n_valid,vamp2_mean,vamp2_std,spectral_gap_mean,spectral_gap_std,entropy_total_mean,entropy_total_std,eigenvalue_cv_mean,eigenvalue_cv_std,elapsed_sec
baseline,10,-2.5223852495352426,0.09264712273651983,0.2278196876989523,0.034390557376186154,0.4383323922753334,0.15538854095033114,0.4441928341984749,0.12135054811349963,1685.3613929748535
architecture_sweep_model.hidden_dims=[64_64],10,-2.122998120387395,0.03863060615545151,0.243968521650377,0.04241537855536046,0.5180699691176415,0.1877519318005306,0.5564573854207993,0.10383518256437738,1445.7388851642609
architecture_sweep_model.hidden_dims=[128_128_64],10,-2.5223852495352426,0.09264712273651983,0.2278196876989523,0.034390557376186154,0.4383323922753334,0.15538854095033114,0.4441928341984749,0.12135054811349963,2234.1943957805634
