window_idx,window_start,window_end,center_date,spectral_gap,entropy_production,mean_irreversibility,vamp2_score,leading_eigenvalue_mag,second_eigenvalue_mag,eig_mag_0,eig_mag_1,eig_mag_2,eig_mag_3,eig_mag_4
0,0,500,1994-02-01 00:00:00,0.4351676823856259,0.12457713484764099,1.221830129623413,0.13997207581996918,0.229768767952919,0.11351294070482254,0.229768767952919,0.11351294070482254,0.11351294070482254,0.03612023591995239,0.02399454079568386
1,5,505,1994-02-08 00:00:00,0.419291303214261,0.12648069858551025,1.2624218463897705,0.14637984335422516,0.23563449084758759,0.12289112061262131,0.23563449084758759,0.12289112061262131,0.12289112061262131,0.034292858093976974,0.02639913000166416
2,10,510,1994-02-15 00:00:00,0.40297401480248835,0.15257461369037628,1.2499761581420898,0.15214946866035461,0.2066546231508255,0.13333773612976074,0.2066546231508255,0.13333773612976074,0.13333773612976074,0.03206227347254753,0.01257838774472475
3,15,515,1994-02-23 00:00:00,0.3965386897024704,0.15500673651695251,1.2645713090896606,0.16096791625022888,0.21762195229530334,0.13769786059856415,0.21762195229530334,0.13769786059856415,0.13769786059856415,0.0279780812561512,0.010892016813158989
4,20,520,1994-03-02 00:00:00,0.4248273470545249,0.1287011057138443,1.3671846389770508,0.18516062200069427,0.2247810661792755,0.11953610926866531,0.2247810661792755,0.11953610926866531,0.11953610926866531,0.026431282982230186,0.012777446769177914
5,25,525,1994-03-09 00:00:00,0.4379536576156844,0.12728095054626465,1.3085705041885376,0.18554344773292542,0.22016286849975586,0.11194267868995667,0.22016286849975586,0.11194267868995667,0.11194267868995667,0.036493588238954544,0.019456904381513596
6,30,530,1994-03-16 00:00:00,0.4181613887996026,0.13373154401779175,1.3606454133987427,0.19186002016067505,0.21605931222438812,0.12358736246824265,0.21605931222438812,0.12358736246824265,0.12358736246824265,0.04771430045366287,0.009783384390175343
7,35,535,1994-03-23 00:00:00,0.42022334006247286,0.12703213095664978,1.3774889707565308,0.19315841794013977,0.21595385670661926,0.12231975793838501,0.21595385670661926,0.12231975793838501,0.12231975793838501,0.03830202296376228,0.0030338054057210684
8,40,540,1994-03-30 00:00:00,0.42217232521613346,0.12991021573543549,1.4013128280639648,0.19805744290351868,0.21797963976860046,0.12113355100154877,0.21797963976860046,0.12113355100154877,0.12113355100154877,0.033416640013456345,0.016296114772558212
9,45,545,1994-04-07 00:00:00,0.39952338496049816,0.13567210733890533,1.456115961074829,0.20014777779579163,0.20632493495941162,0.13565818965435028,0.20632493495941162,0.13565818965435028,0.13565818965435028,0.03737552464008331,0.013645922765135765
10,50,550,1994-04-14 00:00:00,0.3917138967735828,0.14054743945598602,1.464826226234436,0.20211371779441833,0.20239640772342682,0.14106006920337677,0.20239640772342682,0.14106006920337677,0.14106006920337677,0.037695322185754776,0.01729106344282627
11,55,555,1994-04-21 00:00:00,0.3864355896190688,0.1419917643070221,1.5116088390350342,0.2093459963798523,0.2015511691570282,0.14483241736888885,0.2015511691570282,0.14483241736888885,0.14483241736888885,0.037747930735349655,0.02021048031747341
12,60,560,1994-04-29 00:00:00,0.3859923948499939,0.14038902521133423,1.49909508228302,0.2112949937582016,0.20867717266082764,0.1451537162065506,0.20867717266082764,0.1451537162065506,0.1451537162065506,0.03403892740607262,0.019519740715622902
13,65,565,1994-05-06 00:00:00,0.38765079568370236,0.13876257836818695,1.4934839010238647,0.20981565117835999,0.20555800199508667,0.1439550817012787,0.20555800199508667,0.1439550817012787,0.1439550817012787,0.030771996825933456,0.015355278737843037
14,70,570,1994-05-13 00:00:00,0.38941909444136436,0.1342906504869461,1.4723061323165894,0.2015991061925888,0.1919773817062378,0.14268790185451508,0.1919773817062378,0.14268790185451508,0.14268790185451508,0.03583310917019844,0.004516501445323229
15,75,575,1994-05-20 00:00:00,0.3788719776403301,0.13892367482185364,1.5526607036590576,0.21581345796585083,0.20667603611946106,0.1504145860671997,0.20667603611946106,0.1504145860671997,0.1504145860671997,0.025328155606985092,0.00975362304598093
16,80,580,1994-05-27 00:00:00,0.37194458060342034,0.15282052755355835,1.6261967420578003,0.22252196073532104,0.20453158020973206,0.15571576356887817,0.20453158020973206,0.15571576356887817,0.15571576356887817,0.03134223818778992,0.023292144760489464
17,85,585,1994-06-06 00:00:00,0.3851386285883451,0.14863750338554382,1.5735331773757935,0.2262345254421234,0.20380382239818573,0.14577467739582062,0.20380382239818573,0.14577467739582062,0.14577467739582062,0.043908290565013885,0.0015392483910545707
18,90,590,1994-06-13 00:00:00,0.38762234549591,0.15540477633476257,1.6186866760253906,0.22660478949546814,0.21691472828388214,0.14397555589675903,0.21691472828388214,0.14397555589675903,0.14397555589675903,0.036696042865514755,0.012057771906256676
19,95,595,1994-06-20 00:00:00,0.38882634840285446,0.1559610366821289,1.6209689378738403,0.23119300603866577,0.22167980670928955,0.1431114375591278,0.22167980670928955,0.1431114375591278,0.1431114375591278,0.03426279127597809,0.00324219255708158
20,100,600,1994-06-27 00:00:00,0.37320843353490535,0.15540672838687897,1.6953885555267334,0.23868122696876526,0.22725960612297058,0.15473486483097076,0.22725960612297058,0.15473486483097076,0.15473486483097076,0.026906579732894897,0.026906579732894897
21,105,605,1994-07-05 00:00:00,0.3751476291345368,0.145904079079628,1.6455985307693481,0.2289232462644577,0.2089693695306778,0.1532418131828308,0.2089693695306778,0.1532418131828308,0.1532418131828308,0.029679400846362114,0.029679400846362114
22,110,610,1994-07-12 00:00:00,0.38309206155020376,0.13962382078170776,1.6238892078399658,0.2241140753030777,0.20651192963123322,0.14727403223514557,0.20651192963123322,0.14727403223514557,0.14727403223514557,0.03110920451581478,0.03110920451581478
23,115,615,1994-07-19 00:00:00,0.3813498567851814,0.13950420916080475,1.6129841804504395,0.22166460752487183,0.19414809346199036,0.14856253564357758,0.19414809346199036,0.14856253564357758,0.14856253564357758,0.01734624244272709,0.01734624244272709
24,120,620,1994-07-26 00:00:00,0.3893941198988371,0.13632406294345856,1.5855118036270142,0.21940889954566956,0.18130502104759216,0.1427057385444641,0.18130502104759216,0.1427057385444641,0.1427057385444641,0.022073857486248016,0.022073857486248016
25,125,625,1994-08-02 00:00:00,0.3899452695469981,0.1362510323524475,1.6011974811553955,0.21864590048789978,0.17470502853393555,0.14231300354003906,0.17470502853393555,0.14231300354003906,0.14231300354003906,0.033825524151325226,0.033825524151325226
26,130,630,1994-08-09 00:00:00,0.3817819301668251,0.14041770994663239,1.5895956754684448,0.2176065891981125,0.1651776134967804,0.14824192225933075,0.1651776134967804,0.14824192225933075,0.14824192225933075,0.02495540678501129,0.02495540678501129
27,135,635,1994-08-16 00:00:00,0.381898913832784,0.14261002838611603,1.5676918029785156,0.21375758945941925,0.1605529487133026,0.14815524220466614,0.1605529487133026,0.14815524220466614,0.14815524220466614,0.010591952130198479,0.010591952130198479
28,140,640,1994-08-23 00:00:00,0.38824961901149846,0.13610415160655975,1.53233003616333,0.20879650115966797,0.15648968517780304,0.14352470636367798,0.15648968517780304,0.14352470636367798,0.14352470636367798,0.009388883598148823,0.009388883598148823
29,145,645,1994-08-30 00:00:00,0.3732013761080203,0.14228104054927826,1.546494483947754,0.2089691311120987,0.1547403186559677,0.1547403186559677,0.1547403186559677,0.1547403186559677,0.1498585045337677,0.008384947665035725,0.002555537037551403
30,150,650,1994-09-07 00:00:00,0.3669993270426801,0.14583447575569153,1.5359951257705688,0.21112112700939178,0.15961402654647827,0.15961402654647827,0.15961402654647827,0.15961402654647827,0.14948046207427979,0.009846337139606476,0.00892388541251421
31,155,655,1994-09-14 00:00:00,0.3681659584879101,0.13087299466133118,1.5423803329467773,0.2117065191268921,0.15868568420410156,0.15868568420410156,0.15868568420410156,0.15868568420410156,0.1504526138305664,0.0051566679030656815,0.0051566679030656815
32,160,660,1994-09-21 00:00:00,0.36318169287401664,0.1280360221862793,1.544203758239746,0.20946668088436127,0.16269004344940186,0.16269004344940186,0.16269004344940186,0.16269004344940186,0.14399270713329315,0.019501807168126106,0.014744053594768047
33,165,665,1994-09-28 00:00:00,0.35994543912627897,0.1297200322151184,1.5129250288009644,0.20790539681911469,0.1653439849615097,0.1653439849615097,0.1653439849615097,0.1653439849615097,0.13647505640983582,0.020086592063307762,0.01184369157999754
34,170,670,1994-10-05 00:00:00,0.35324170779267916,0.13717536628246307,1.5734264850616455,0.20925372838974,0.17098002135753632,0.17098002135753632,0.17098002135753632,0.17098002135753632,0.13453397154808044,0.040330465883016586,0.019241463392972946
35,175,675,1994-10-12 00:00:00,0.36854566047892173,0.13175827264785767,1.5431106090545654,0.20737825334072113,0.15838472545146942,0.15838472545146942,0.15838472545146942,0.15838472545146942,0.14337532222270966,0.04108757525682449,0.009957537986338139
36,180,680,1994-10-19 00:00:00,0.3688151291634622,0.12671732902526855,1.5111137628555298,0.20715591311454773,0.15817144513130188,0.15817144513130188,0.15817144513130188,0.15817144513130188,0.14063061773777008,0.025926021859049797,0.017180362716317177
37,185,685,1994-10-26 00:00:00,0.3740808531743539,0.1492905467748642,1.5134494304656982,0.20943176746368408,0.15406136214733124,0.15406136214733124,0.15406136214733124,0.15406136214733124,0.140499547123909,0.021883659064769745,0.008027263917028904
38,190,690,1994-11-02 00:00:00,0.3688948471019772,0.13573817908763885,1.5569791793823242,0.21832293272018433,0.1581084132194519,0.1581084132194519,0.1581084132194519,0.1581084132194519,0.1410733163356781,0.01732846349477768,0.01732846349477768
