method,n_states,train_ll,test_ll,aic,bic,nber_accuracy,nber_precision,nber_recall,nber_f1,n_transitions,mean_regime_duration,gfc_lead_days,covid_lead_days,elapsed_sec,n_modes,reconstruction_error,spectral_gap,n_components,cumulative_variance,thresholds,fraction_low_vol,fraction_elevated,fraction_crisis,sequence_length,hidden_dim,latent_dim
HMM,3.0,19442.63795357155,4728.133440203627,-38857.2759071431,-38763.382725154035,0.8805665586364182,0.034759358288770054,0.02009273570324575,0.025465230166503428,775,10.735824742268042,31,20,2.692689895629883,,,,,,,,,,,,
DMD,,,,,,0.8327931820909855,0.16396396396396395,0.28129829984544047,0.20717131474103584,3955,2.1059150657229524,1,10,0.0072519779205322266,10.0,0.999252345752244,0.0,,,,,,,,,
PCA,,,,,,0.8327931820909855,0.16396396396396395,0.28129829984544047,0.20717131474103584,3955,2.1059150657229524,1,10,0.12032485008239746,,,,10.0,1.0,,,,,,,
VIX_Threshold,,,,,,0.897731364782139,0.3541963015647226,0.3848531684698609,0.3688888888888888,614,13.546341463414635,2,107,0.003197193145751953,,,,,,"[20.0, 30.0, 40.0]",0.6217740967470892,0.29384227583723443,0.08438362741567638,,,
LSTM_AE,,,,,,0.821750090025207,0.24135802469135803,0.6043276661514683,0.3449492721658579,176,47.067796610169495,19,168,42.728286027908325,,,,,,,,,,20.0,32.0,8.0
