Date,EEM,EFA,GLD,HYG,IEF,IWM,LQD,QQQ,SPY,TLT,VNQ,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV
2006-09-05,21.949615478515625,38.06693649291992,63.36000061035156,,50.02393341064453,55.706939697265625,48.94969177246094,33.82007598876953,91.65895080566406,47.61845779418945,31.537490844726562,10.570352554321289,16.0636043548584,18.57648277282715,22.281963348388672,8.262238502502441,15.248814582824707,8.753921508789062,23.455778121948242
2006-09-06,21.31932830810547,37.427490234375,62.86000061035156,,49.98735427856445,54.52316665649414,48.94969177246094,33.14299011230469,90.8514404296875,47.552940368652344,31.387710571289062,10.439772605895996,15.519173622131348,18.515735626220703,22.04922866821289,8.127049446105957,15.207063674926758,8.720864295959473,23.370014190673828
2006-09-07,21.076061248779297,36.97709655761719,61.25,,50.02393341064453,54.03889846801758,49.000755310058594,32.98873519897461,90.43377685546875,47.645755767822266,31.132213592529297,10.325520515441895,15.533201217651367,18.372163772583008,21.994455337524414,8.080694198608398,15.153390884399414,8.733579635620117,23.19849395751953
2006-09-08,21.248558044433594,36.98821258544922,60.63999938964844,,50.07278823852539,54.246429443359375,49.05181121826172,33.185855865478516,90.69135284423828,47.68397521972656,31.4273681640625,10.364692687988281,15.14030647277832,18.477087020874023,22.035526275634766,8.146363258361816,15.23092269897461,8.733579635620117,23.384309768676758
2006-09-11,20.79076385498047,36.76579284667969,58.5,,49.98126220703125,54.17723846435547,49.033233642578125,33.39154815673828,90.78182220458984,47.64030075073242,31.528705596923828,10.087210655212402,14.671651840209961,18.488130569458008,22.056058883666992,8.215888977050781,15.344223976135254,8.703065872192383,23.534399032592773
2006-09-12,21.146827697753906,37.188392639160156,58.31999969482422,,50.121612548828125,55.45329666137695,49.10749053955078,34.008628845214844,91.6728744506836,47.880550384521484,31.93398094177246,10.204733848571777,14.579046249389648,18.7255802154541,22.261430740356445,8.358805656433105,15.350191116333008,8.657309532165527,23.80596923828125
2006-09-13,21.463075637817383,37.11609649658203,58.619998931884766,,50.17036819458008,55.922176361083984,49.23744583129883,34.240047454833984,92.0417709350586,47.90235900878906,32.11458206176758,10.276549339294434,14.882125854492188,18.863630294799805,22.487323760986328,8.358805656433105,15.236882209777832,8.675101280212402,23.75594139099121
2006-09-14,21.286155700683594,37.16614532470703,57.189998626708984,,50.07278823852539,55.72231674194336,49.112144470214844,34.27435302734375,92.04877471923828,47.793182373046875,31.942781448364258,10.24390983581543,14.550980567932129,18.907814025878906,22.384653091430664,8.378121376037598,15.314409255981445,8.639511108398438,23.72734832763672
2006-09-15,21.412220001220703,37.08829116821289,57.400001525878906,,50.04227066040039,55.852996826171875,49.079647064208984,34.396976470947266,92.26483154296875,47.754947662353516,32.19828796386719,10.235039710998535,14.600826263427734,18.965560913085938,22.50014305114746,8.399022102355957,15.331192970275879,8.642587661743164,23.765357971191406
2006-09-18,21.65327262878418,37.24399185180664,58.22999954223633,,49.96906280517578,55.83759689331055,49.08891677856445,34.405548095703125,92.39066314697266,47.67852783203125,31.96920394897461,10.359819412231445,14.9528226852417,18.9433536529541,22.555133819580078,8.395150184631348,15.271258354187012,8.616954803466797,23.758197784423828
